Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
France,Pomerol 2011,100,95,4.2,Pomerol,red,Château La Providence,2011,60f33d7e00b871aef201d8be
France,Lirac 2017,100,15.5,4.3,Lirac,red,Château Mont-Redon,2017,60f33d7e00b871aef201d8bf
Italy,Erta e China Rosso di Toscana 2015,100,7.45,3.9,Toscana,red,Renzo Masi,2015,60f33d7e00b871aef201d8c0
Italy,Bardolino 2019,100,8.72,3.5,Bardolino,red,Cavalchina,2019,60f33d7e00b871aef201d8c1
Austria,Ried Scheibner Pinot Noir 2016,100,29.15,3.9,Carnuntum,red,Markowitsch,2016,60f33d7e00b871aef201d8c2
France,Gigondas (Nobles Terrasses) 2017,100,19.9,3.7,Gigondas,red,Vieux Clocher,2017,60f33d7e00b871aef201d8c3
New Zealand,"Marion's Vineyard Pinot Noir 2016",100,43.87,4,Wairarapa,red,Schubert,2016,60f33d7e00b871aef201d8c4
Chile,Red Blend 2014,100,17.52,3.9,Itata Valley,red,Viña La Causa,2014,60f33d7e00b871aef201d8c5
Italy,Chianti 2015,100,10.75,3.6,Chianti,red,Castello Montaùto,2015,60f33d7e00b871aef201d8c6
France,Tradition 2014,100,6.9,3.5,Minervois,red,Domaine des Aires Hautes,2014,60f33d7e00b871aef201d8c7
Italy,Chianti Riserva 2013,100,20.95,3.9,Chianti,red,Poggiotondo,2013,60f33d7e00b871aef201d8c8
Australia,Descendant 2016,100,140.64,4.3,Barossa,red,Torbreck,2016,60f33d7e00b871aef201d8c9
France,Les Obriers de la Peira Terrasses du Larzac 2017,100,14.52,4.1,Terrasses du Larzac,red,La Pèira en Damaisèla,2017,60f33d7e00b871aef201d8ca
Italy,Zenas Primitivo 2018,100,9.26,3.6,Puglia,red,La Bollina,2018,60f33d7e00b871aef201d8cb
France,Cuvée Confidence Côtes du Rhône Rouge 2017,100,8.49,3.7,Côtes-du-Rhône,red,Domaine Fond Croze,2017,60f33d7e00b871aef201d8cc
